timestamp,machine_id,operator_id,engine_hours,engine_rpm,engine_load_pct,machine_speed_kmh,fuel_used_l,idling_time_min,load_cycles,operating_state,seatbelt_status,proximity_distance_m,gps_zone,working_condition,coolant_temp_c,hydraulic_oil_temp_c,fault_code,task_id
2026-09-21T10:00:00Z,CAT-797F-101,OP-101,8430.0,1520.0,54.0,26.5,45.2,12.0,14,HAULING_LOADED,FASTENED,45.0,HAUL_ROAD_NORTH,NORMAL,85.8,71.8,NONE,TSK-DEMO-01
2026-09-21T10:00:15Z,CAT-797F-101,OP-101,8430.0,1580.0,58.5,28.2,45.52,12.0,14,HAULING_LOADED,FASTENED,42.5,HAUL_ROAD_NORTH,NORMAL,86.0,71.9,NONE,TSK-DEMO-01
2026-09-21T10:00:30Z,CAT-797F-101,OP-101,8430.01,1640.0,62.0,30.5,45.84,12.0,14,HAULING_LOADED,FASTENED,39.0,HAUL_ROAD_NORTH,NORMAL,86.2,71.9,NONE,TSK-DEMO-01
2026-09-21T10:00:45Z,CAT-797F-101,OP-101,8430.01,1710.0,65.5,32.8,46.16,12.0,14,HAULING_LOADED,FASTENED,36.5,HAUL_ROAD_NORTH,NORMAL,86.5,72.0,NONE,TSK-DEMO-01
2026-09-21T10:01:00Z,CAT-797F-101,OP-101,8430.02,1740.0,67.0,34.2,46.48,12.0,14,HAULING_LOADED,FASTENED,34.0,HAUL_ROAD_NORTH,NORMAL,86.8,72.0,NONE,TSK-DEMO-01
2026-09-21T10:01:15Z,CAT-797F-101,OP-101,8430.02,1760.0,68.5,35.0,46.8,12.0,14,HAULING_LOADED,FASTENED,32.5,HAUL_ROAD_NORTH,NORMAL,87.0,72.1,NONE,TSK-DEMO-01
2026-09-21T10:01:30Z,CAT-797F-101,OP-101,8430.02,1690.0,64.0,33.6,47.12,12.0,14,HAULING_LOADED,FASTENED,35.0,HAUL_ROAD_NORTH,NORMAL,87.1,72.2,NONE,TSK-DEMO-01
2026-09-21T10:01:45Z,CAT-797F-101,OP-101,8430.03,1630.0,61.2,31.8,47.44,12.0,14,HAULING_LOADED,FASTENED,38.5,HAUL_ROAD_NORTH,NORMAL,86.9,72.2,NONE,TSK-DEMO-01
2026-09-21T10:02:00Z,CAT-797F-101,OP-101,8430.03,1590.0,59.0,30.2,47.76,12.0,14,HAULING_LOADED,FASTENED,41.0,HAUL_ROAD_NORTH,NORMAL,86.7,72.3,NONE,TSK-DEMO-01
2026-09-21T10:02:15Z,CAT-797F-101,OP-101,8430.04,1560.0,57.5,29.0,48.08,12.0,14,HAULING_LOADED,FASTENED,43.5,HAUL_ROAD_NORTH,NORMAL,86.5,72.3,NONE,TSK-DEMO-01
2026-09-21T10:02:30Z,CAT-797F-101,OP-101,8430.04,1650.0,63.0,31.5,48.4,12.0,15,HAULING_LOADED,FASTENED,40.0,HAUL_ROAD_NORTH,NORMAL,86.8,72.4,NONE,TSK-DEMO-01
2026-09-21T10:02:45Z,CAT-797F-101,OP-101,8430.04,1720.0,66.5,33.2,48.72,12.0,15,HAULING_LOADED,FASTENED,37.2,HAUL_ROAD_NORTH,NORMAL,87.0,72.5,NONE,TSK-DEMO-01
2026-09-21T10:03:00Z,CAT-797F-101,OP-101,8430.05,1750.0,68.0,34.6,49.04,12.0,15,HAULING_LOADED,FASTENED,35.0,HAUL_ROAD_NORTH,OPTIMAL,87.2,72.5,NONE,TSK-DEMO-01
2026-09-21T10:03:15Z,CAT-797F-101,OP-101,8430.05,1780.0,69.2,35.2,49.36,12.0,15,HAULING_LOADED,FASTENED,38.0,HAUL_ROAD_NORTH,OPTIMAL,87.4,72.6,NONE,TSK-DEMO-01
2026-09-21T10:03:30Z,CAT-797F-101,OP-101,8430.06,1700.0,65.0,33.8,49.68,12.0,15,HAULING_LOADED,FASTENED,42.0,HAUL_ROAD_NORTH,OPTIMAL,87.2,72.6,NONE,TSK-DEMO-01
