timestamp,machine_id,operator_id,engine_hours,engine_rpm,engine_load_pct,machine_speed_kmh,fuel_used_l,idling_time_min,load_cycles,operating_state,seatbelt_status,proximity_distance_m,gps_zone,working_condition,coolant_temp_c,hydraulic_oil_temp_c,fault_code,task_id
2026-09-20T06:00:00Z,CAT-797F-101,OP-101,8420.51,1263.7,45.2,3.0,0.52,0.0,0,SPOTTING,FASTENED,7.3,CRUSHER_FEED_1,SEVERE,83.6,67.9,NONE,TSK-1001
2026-09-20T06:00:00Z,CAT-797F-102,OP-102,14210.01,1273.5,47.1,1.4,0.56,0.0,0,SPOTTING,FASTENED,11.1,CRUSHER_FEED_1,NORMAL,83.6,68.5,NONE,TSK-1010
2026-09-20T06:00:00Z,CAT-6060-201,OP-103,5120.21,1944.8,77.2,1.2,1.44,0.0,0,EXCAVATING,FASTENED,8.5,PIT_FLOOR_BENCH_B,SEVERE,82.9,68.1,NONE,TSK-1005
2026-09-20T06:00:00Z,CAT-994K-301,OP-104,9860.81,1566.6,62.4,1.1,0.57,0.0,1,LOADING,FASTENED,9.5,PIT_FLOOR_BENCH_A,NORMAL,82.7,67.0,NONE,TSK-1004
2026-09-20T06:00:00Z,CAT-D11-401,OP-105,16480.01,2015.6,87.4,4.3,0.92,0.0,1,DOZING,FASTENED,16.6,STAGING_BAY_4,MUDDY,83.5,69.5,NONE,TSK-1002
2026-09-20T06:00:45Z,CAT-797F-101,OP-101,8420.53,1178.3,43.0,1.1,1.03,0.0,0,SPOTTING,FASTENED,9.8,CRUSHER_FEED_1,SEVERE,84.2,68.1,NONE,TSK-1001
2026-09-20T06:00:45Z,CAT-797F-102,OP-102,14210.03,1201.6,47.7,1.5,1.13,0.0,0,SPOTTING,FASTENED,13.3,CRUSHER_FEED_1,NORMAL,84.0,68.8,NONE,TSK-1010
2026-09-20T06:00:45Z,CAT-6060-201,OP-103,5120.22,1768.2,80.2,4.9,2.89,0.0,0,EXCAVATING,FASTENED,21.3,PIT_FLOOR_BENCH_B,SEVERE,84.0,68.7,NONE,TSK-1005
2026-09-20T06:00:45Z,CAT-994K-301,OP-104,9860.83,1477.5,59.2,0.8,1.14,0.0,1,LOADING,FASTENED,10.9,PIT_FLOOR_BENCH_A,NORMAL,83.3,67.4,NONE,TSK-1004
2026-09-20T06:00:45Z,CAT-D11-401,OP-105,16480.03,1850.1,93.8,4.1,1.84,0.0,1,DOZING,FASTENED,10.9,STAGING_BAY_4,MUDDY,84.7,70.1,NONE,TSK-1002
2026-09-20T06:01:30Z,CAT-797F-101,OP-101,8420.54,1255.2,41.4,2.7,1.55,0.0,0,SPOTTING,FASTENED,8.2,CRUSHER_FEED_1,SEVERE,84.8,68.3,NONE,TSK-1001
2026-09-20T06:01:30Z,CAT-797F-102,OP-102,14210.04,1707.5,57.9,0.2,1.85,0.0,0,LOADING,FASTENED,7.3,PIT_FLOOR_BENCH_B,NORMAL,84.5,69.1,NONE,TSK-1010
2026-09-20T06:01:30Z,CAT-6060-201,OP-103,5120.24,1948.3,75.5,1.1,4.33,0.0,0,EXCAVATING,FASTENED,19.1,PIT_FLOOR_BENCH_B,SEVERE,84.9,69.1,NONE,TSK-1005
